index,street,x,y,direction,order,roadType
302,Hoàng Quốc Việt,21.0463,105.79925496952572,1,63,đường chính
303,Hoàng Quốc Việt,21.0463,105.79915871704527,1,64,đường chính
304,Hoàng Quốc Việt,21.0463,105.79906246456484,1,65,đường chính
305,Hoàng Quốc Việt,21.046298832798684,105.79896622995062,1,66,đường chính
306,Hoàng Quốc Việt,21.046296267113146,105.79887001674292,1,67,đường chính
307,Hoàng Quốc Việt,21.046293701427608,105.79877380353518,1,68,đường chính
308,Hoàng Quốc Việt,21.046291135742067,105.79867759032749,1,69,đường chính
309,Hoàng Quốc Việt,21.04628857005653,105.79858137711976,1,70,đường chính
310,Hoàng Quốc Việt,21.04628600437099,105.79848516391203,1,71,đường chính
311,Hoàng Quốc Việt,21.04628343868545,105.79838895070434,1,72,đường chính
312,Hoàng Quốc Việt,21.046280872999912,105.79829273749662,1,73,đường chính
313,Hoàng Quốc Việt,21.04628132262082,105.79819651420075,1,74,đường chính
314,Hoàng Quốc Việt,21.04628332738121,105.79810028570192,1,75,đường chính
315,Hoàng Quốc Việt,21.046285332141604,105.79800405720312,1,76,đường chính
316,Hoàng Quốc Việt,21.046287336902,105.79790782870433,1,77,đường chính
317,Hoàng Quốc Việt,21.046289341662387,105.7978116002055,1,78,đường chính
318,Hoàng Quốc Việt,21.046290000000003,105.79771535560464,1,79,đường chính
319,Hoàng Quốc Việt,21.046290000000003,105.79761910313066,1,80,đường chính
320,Hoàng Quốc Việt,21.046290000000003,105.79752285065666,1,81,đường chính
321,Hoàng Quốc Việt,21.04629332731887,105.7974267448547,1,82,đường chính
322,Hoàng Quốc Việt,21.0463,105.79733078651954,1,83,đường chính
323,Hoàng Quốc Việt,21.0463,105.79723453403908,1,84,đường chính
324,Hoàng Quốc Việt,21.046299954795828,105.7971382822414,1,85,đường chính
325,Hoàng Quốc Việt,21.046297422842223,105.79704206800454,1,86,đường chính
326,Hoàng Quốc Việt,21.046294890888625,105.79694585376768,1,87,đường chính
327,Hoàng Quốc Việt,21.046292358935023,105.79684963953083,1,88,đường chính
328,Hoàng Quốc Việt,21.046290000000003,105.79675342268108,1,89,đường chính
329,Hoàng Quốc Việt,21.046290000000003,105.79665717020708,1,90,đường chính
330,Hoàng Quốc Việt,21.046290000000003,105.79656091773307,1,91,đường chính
331,Hoàng Quốc Việt,21.046290000000003,105.7964646652591,1,92,đường chính
332,Hoàng Quốc Việt,21.046289736763764,105.7963684146285,1,93,đường chính
333,Hoàng Quốc Việt,21.04628856305334,105.79627217037384,1,94,đường chính
334,Hoàng Quốc Việt,21.04628738934292,105.79617592611916,1,95,đường chính
335,Hoàng Quốc Việt,21.04628621563249,105.79607968186448,1,96,đường chính
336,Hoàng Quốc Việt,21.046285041922072,105.79598343760978,1,97,đường chính
337,Hoàng Quốc Việt,21.04628386821165,105.7958871933551,1,98,đường chính
338,Hoàng Quốc Việt,21.046282694501222,105.79579094910042,1,99,đường chính
339,Hoàng Quốc Việt,21.046281520790803,105.79569470484574,1,100,đường chính
340,Hoàng Quốc Việt,21.04628034708038,105.79559846059108,1,101,đường chính
341,Hoàng Quốc Việt,21.04627860262049,105.79550222709368,1,102,đường chính
342,Hoàng Quốc Việt,21.0462766185178,105.79540599811304,1,103,đường chính
343,Hoàng Quốc Việt,21.046274634415106,105.79530976913236,1,104,đường chính
344,Hoàng Quốc Việt,21.046272650312407,105.79521354015168,1,105,đường chính
345,Hoàng Quốc Việt,21.046270666209715,105.79511731117104,1,106,đường chính
346,Hoàng Quốc Việt,21.04626868210702,105.79502108219036,1,107,đường chính
